,id,snippet_publishedAt,snippet_title,snippet_description,snippet_thumbnails_default_url,snippet_thumbnails_maxres_url,snippet_position,snippet_resourceId_videoId
10,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLkNBNjEyNEM2OEFFQjUzRTk=,2019-10-16T06:51:36.000Z,The Ambientalist - Cast A Spell,"Cast A Spell 🔮
Stream: https://open.spotify.com/track/1dF7PJcNNlzGHaoaLkEDCn
🎧 Spotify Playlist: http://bit.ly/AmbientSpotify

#Ambient #WeAreAmbient #TheAmbientalist

📸 Instagram: http://bit.ly/AmbientInstagram
🎁 Ambient Shop: https://teespring.com/stores/ambient

💬 The absence of alternatives clears the mind marvelously.
-Henry Kissinger

🧡 The Ambientalist
https://soundcloud.com/mqymusic
https://www.facebook.com/TheAmbientalist
https://twitter.com/TheAmbientalist
https://theambientalist.bandcamp.com
https://open.spotify.com/playlist/6Xcw9q7mzKuJ5w391SBga2?si=ZZwATWFOTim-q28MdtRzcQ
https://www.youtube.com/channel/UCp-lia9VRUi1swyOhjGWekA/featured

💿 Suggested track: https://youtu.be/nHhCP2NWYvg

📷 Picture by Evie S.
https://unsplash.com/photos/wYpgRt0qZkk

✅ Check out our 24/7 livestream
https://youtube.com/c/AmbientMusicalGenre/live

🖤 Ambient Releases
https://ambientmusicalgenre.bandcamp.com
 
🎵 Submit your music:
https://www.submithub.com/blog/ambient
 
🕊️ Follow AmbientMusicalGenre
https://soundcloud.com/ambientmusicalgenre
https://youtube.com/AmbientMusicalGenre
https://facebook.com/AmbientMusicalGenre
https://vk.com/ambientmusicalgenre
https://twitter.com/AmbiiMG",https://i.ytimg.com/vi/Aw-tygERZ28/default.jpg,https://i.ytimg.com/vi/Aw-tygERZ28/maxresdefault.jpg,10,Aw-tygERZ28
11,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjM1OEE1QjYwMTczNzU2MTA=,2019-10-16T06:13:06.000Z,Echo Collective – Jóhann Jóhannsson: Shell | Yellow Lounge,"Live from Hamburg – The Brussels-based ensemble Echo Collective performs ""Shell"", a track from Deutsche Grammophon's tribute album to the late Jóhann Jóhannsson, ""12 Conversations with Thilo Heizmann"". Live from the Reeperbahn Festival in Hamburg, September 2019. 

Live Video Installation: VIDEOGEIST / Philipp Geist 

Echo Collective – Jóhann Jóhannsson: Shell | Yellow Lounge 
Discover ""12 Conversations with Thilo Heizmann"": https://DG.lnk.to/johannsson_conversations
Subscribe here – The Best Of Classical Music: http://bit.ly/Subscribe_DG 

___


Find Deutsche Grammophon Online

Homepage: http://deutschegrammophon.com
Facebook:  http://fb.com/deutschegrammophon
Twitter:   http://twitter.com/dgclassics
Instagram:  http://instagram.com/dgclassics
Newsletter:  http://deutschegrammophon.com/gpp/index/newsletter

_______________

最高のクラシック音楽―登録はこちら: http://bit.ly/Subscribe_DG
最优质古典音乐 – 此处订阅: http://bit.ly/Subscribe_DG
Лучшая Классическая Музыка - Подписаться: http://bit.ly/Subscribe_DG
La mejor música clásica - Suscríbase aquí: http://bit.ly/Subscribe_DG
Le meilleur de la musique classique. Pour vous abonner cliquez ici: http://bit.ly/Subscribe_DG

#NeoClassicalMusic #JóhannJóhannsson #EchoCollective",https://i.ytimg.com/vi/_4LQ901UYn8/default.jpg,https://i.ytimg.com/vi/_4LQ901UYn8/maxresdefault.jpg,11,_4LQ901UYn8
12,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjM3QTdDREJBRjNBQjQ3OUQ=,2019-10-16T06:06:24.000Z,Chasing Dreams - Magic Sky,"The sky will always attract us.
Download: https://soundcloud.com/needanamemusic/magic-sky

Chasing Dreams (Need a Name)
https://soundcloud.com/needanamemusic
http://www.needanamemusic.com/site/
https://www.facebook.com/needanamemusic
https://twitter.com/needanamemusic
http://needanamemusic.tumblr.com/
http://www.youtube.com/user/needanamemusic

Pic by 4dam
http://fav.me/d5epsrt

Follow AmbientMusicalGenre
https://soundcloud.com/ambientmusicalgenre
https://youtube.com/AmbientMusicalGenre
https://facebook.com/AmbientMusicalGenre
https://plus.google.com/+AmbientMusicalGenre/posts
https://ambientmusicalgenre.bandcamp.com/
https://twitter.com/AmbiiMG

My other music channels:
https://www.youtube.com/c/AmbiiStation
https://www.youtube.com/c/GentleSounds

All music on AmbientMusicalGenre channel used for promotional reasons only.
If any artist, producer or label has an issue with any of the uploads please get in contact with me and I will delete it. (ambientmusicalgenre@gmail.com)",https://i.ytimg.com/vi/RqJg1Q_eJKI/default.jpg,https://i.ytimg.com/vi/RqJg1Q_eJKI/maxresdefault.jpg,12,RqJg1Q_eJKI
13,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLkQxNzVBNkJFRkE1RTczMkY=,2019-10-16T03:36:08.000Z,Damien Rice & Mariam Wallentin - Astronaut | One to One,"Musicians : Damien Rice, Mariam Wallentin & Cantus Domus
Arranged and conducted by Ralf Sochaczewsky
Directed by Christophe 'Chryde' Abric
Filmed by Nicolas Rochette
Recorded by Phil Weinrobe & Igor Moreno

— Want to see more ? Subscribe : 
http://bit.ly/SubBlogo 

— Follow La Blogothèque : 
http://blogotheque.net 
http://facebook.com/blogotheque 
http://instagram.com/blogotheque 
http://twitter.com/blogotheque 

— Stay a while : 
Take Away Show, the Very Best : http://bit.ly/TASBest 
Take Away Show 2018 : http://bit.ly/TAShow18 
Take Away Show 2017 : http://bit.ly/TAShow17 
Take Away Show 2016 : http://bit.ly/TAShow16

For more than ten years, La Blogotheque has changed the way people experience music videos. We film beautiful, rare and intimate sessions with your favorite artists, and the ones you are soon to fall in love with. Come, stay a while, and be taken away.",https://i.ytimg.com/vi/IPjTjRQwruI/default.jpg,https://i.ytimg.com/vi/IPjTjRQwruI/maxresdefault.jpg,13,IPjTjRQwruI
14,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjdDODUzOTM4NkY1RkE5MkE=,2019-10-16T02:50:20.000Z,Maisha - Azure (Live in Brownswood Basement),"Follow Maisha

Instagram - http://bit.ly/2CDNVfF
Twitter - http://bit.ly/2EfyGv3
Facebook - http://bit.ly/2EeQbM4
Spotify - https://spoti.fi/2EmNub8

Jake Long - Drums (Bandleader)
Nubya Garcia - Saxophone/Flute
Shirley Tetteh - Guitar
Amané Suganami - Keys
Twm Dylan - Doulbe Bass
Tim Doyle - Percussion
Yahael Camara-Onono - Percussion

The London-based six-piece, led by bandleader Jake Long, announce their signing to Brownswood with this live session. Recorded in the infamous Brownswood Basement, it sees the group displaying their fresh slant to the weighty spiritual jazz tradition.

Their 2016 debut EP was released through Jazz Re:freshed (whose weekly shows and record label are an institution for forward-thinking jazz), and were part of We Out Here, Brownswood’s early 2018 record which documented London’s genre-bending, jazz-influenced underground. They’ve been featured on Boiler Room, supported the Sun Ra Arkestra, and played at Church of Sound, a live series that’s quickly become a staple of the emergent scene.",https://i.ytimg.com/vi/H4irB-qy8NY/default.jpg,https://i.ytimg.com/vi/H4irB-qy8NY/maxresdefault.jpg,14,H4irB-qy8NY
15,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLkNGNTk5NjdDMzhBMjI1RkE=,2019-10-16T02:22:19.000Z,"Sleeping At Last - ""Two"" (Official Lyric Video)","""Two"" is from Sleeping At Last's ""Atlas: Year Two"" project.
Spotify: https://open.spotify.com/user/sleepingatlast/playlist/0KAhxownsc3KomZobRPvXB?si=gCfdtMMESQKJUhNIlmkBMg

Produced by Wonderkind Studios
Wonderkindstudios.com
Handwriting by Ryan O'Neal

www.sleepingatlast.com",https://i.ytimg.com/vi/PrDzd4ufypE/default.jpg,https://i.ytimg.com/vi/PrDzd4ufypE/maxresdefault.jpg,15,PrDzd4ufypE
16,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjZCN0Y1ODY1NDhGQTgxQ0Y=,2019-10-16T02:11:54.000Z,Chasing Dreams - The Endless Tale of Angels and Stars,"Stars fall from the sky and we feel touch of the universe.
Download: https://soundcloud.com/needanamemusic/the-endless-tale-of-angels-and-stars

Chasing Dreams
https://soundcloud.com/needanamemusic
http://www.needanamemusic.com/site/
https://www.facebook.com/needanamemusic
https://twitter.com/needanamemusic
http://needanamemusic.tumblr.com/
http://www.youtube.com/user/needanamemusic

Picture by Bara Vavrova
https://flic.kr/p/K636LM
https://www.flickr.com/photos/baravavrova

Follow AmbientMusicalGenre
https://soundcloud.com/ambientmusicalgenre
https://youtube.com/AmbientMusicalGenre
https://facebook.com/AmbientMusicalGenre
https://vk.com/ambientmusicalgenre
https://plus.google.com/+AmbientMusicalGenre/posts
https://ambientmusicalgenre.bandcamp.com/
https://twitter.com/AmbiiMG

Support AMG Records (AmbientMusicalGenre channel)
https://ambientmusicalgenre.bandcamp.com

All music on AmbientMusicalGenre channel used for promotional reasons only.
If any artist, producer or label has an issue with any of the uploads (images also included) please get in contact with me and I will delete it.
(ambientmusicalgenre@gmail.com)",https://i.ytimg.com/vi/DKoTnHU9ACc/default.jpg,https://i.ytimg.com/vi/DKoTnHU9ACc/maxresdefault.jpg,16,DKoTnHU9ACc
17,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjc4NjhDNkEwQzczMzlCQzI=,2019-10-16T01:41:21.000Z,Ibe - 'Tenerife Sea' | Blind Auditions | The Voice Van Vlaanderen | VTM,"Zichzelf begeleidend op de piano komt Ibe even rustig zijn versie van 'Tenerife Sea' van Ed Sheeran brengen. En dan worden publiek én jury helemaal stil...

// ABONNEREN //
Vergeet je niet abonneren op het YouTube-kanaal van 'The Voice van Vlaanderen' en bekijk de nieuwe optredens als eerste:
http://www.youtube.com/c/TheVoicevanVlaanderen?sub_confirmation=1

// WEBSITE //
Ga voor meer informatie en de volledige aflevering naar onze website: http://thevoice.vtm.be/

// SOCIAL MEDIA //
Facebook : http://www.facebook.com/TheVoiceVanVlaanderen
Twitter : http://www.twitter.com/VTMTheVoice

// OVER DE SHOW //
Een unieke en pure stem die je omverblaast, daar draait het om in The Voice van Vlaanderen. Koen Wauters, Natalia, Bart Peeters en Alex Callier zijn weer van de partij als coach.",https://i.ytimg.com/vi/rAfICy34pHE/default.jpg,https://i.ytimg.com/vi/rAfICy34pHE/maxresdefault.jpg,17,rAfICy34pHE
18,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjY5NkJCRTBDOEQ5NjVFMzI=,2019-10-15T07:30:05.000Z,Aaron Smith - Better Than You Loved Me | Mahogany Session,"SUBSCRIBE TO MAHOGANY: https://mhgny.lnk.to/subscribeID
STREAM ON SPOTIFY: https://mhgny.lnk.to/Spotify
LISTEN ON APPLE MUSIC: https://mhgny.lnk.to/applemusic

Scottish singer-songwriter Aaron Smith makes his Mahogany Sessions debut with a heartfelt performance of Better Than You Loved Me.

Since 2010, Mahogany Sessions have been bringing millions of people around the world closer to the artists they love. Incredibly intimate musical moments from the likes of James Bay, Bastille, Hozier, Birdy, Leon Bridges, Jacob Banks, JP Cooper, Rag’n’Bone Man, Gavin James and hundreds more. Subscribe to make sure you never miss out on discovering incredible music.

Submit your own music to Mahogany Sessions: https://mhgny.lnk.to/submit

Mahogany Sessions can be enjoyed on YouTube, streamed on Spotify and downloaded on Apple Music.

Instagram: https://mhgny.lnk.to/Instagram
Facebook: https://mhgny.lnk.to/Facebook
Messenger: https://mhgny.lnk.to/fbmsngr
Website: https://mhgny.lnk.to/hmepge
 
Find out more from Aaron Smith:
Facebook: https://www.facebook.com/aaronsmithsmusic/
Instagram: https://www.instagram.com/aaron_smithmusic/
Spotify: https://open.spotify.com/artist/5Nm4sZeWDNd1sOs5HcxAbl?si=igViOurMR-SQYsMW-Qv04w

#MahoganySessions",https://i.ytimg.com/vi/7_dyCwBa3cM/default.jpg,https://i.ytimg.com/vi/7_dyCwBa3cM/maxresdefault.jpg,18,7_dyCwBa3cM
19,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjE5NDZFMEZFNjkxN0JGMUM=,2019-10-15T06:48:20.000Z,SPINN - July At A Glance | Sofar London,"SPINN performing ""July At A Glance"" at Sofar London on April 18, 2019 
Sofar puts on hundreds of intimate shows each month around the world. Find an upcoming date in your city: http://bit.ly/findasofar

For a new gig every day, along with playlists, features and more, subscribe to Sofar here: http://bit.ly/subscribetosofar
_________________________

Find us on Facebook and Twitter for more information -
http://www.facebook.com/sofarsounds
http://twitter.com/Sofarsounds
http://www.facebook.com/sofarsounds
http://twitter.com/Sofarsounds
https://www.facebook.com/SofarSoundsLondon
https://twitter.com/sofarlondon
https://www.instagram.com/sofarlondon
_________________________

Artist: SPINN

https://www.facebook.com/pg/spinnband
https://www.instagram.com/spinn_band
https://twitter.com/spinn_band
https://open.spotify.com/artist/3VRqGLyj4cnRers46I0Yk4?si=fvshKzBySP-3DeRKqc2EMg
https://www.youtube.com/channel/UCJ7pN6Yw5trYuouMTt-y0Nw
_________________________

Filmed by: ROPO FILMS - https://ropofilms.com - Pavel Radu and Chris Esclapez
Edited by: ROPO FILMS - https://ropofilms.com - Pavel Radu and Daniel Babusca
Audio by: AURAL YOUTH - http://auralyouth.co.uk - Josh MacLeod
#sofarsounds #SofarSounds #sofarsoundslive #sofar
Venue: This Time Next Year - https://www.thistimenextyear.co.uk/",https://i.ytimg.com/vi/9epp7t2MEec/default.jpg,https://i.ytimg.com/vi/9epp7t2MEec/maxresdefault.jpg,19,9epp7t2MEec
20,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjI5RjYyQzE5NEY0Njc5OEE=,2019-10-14T05:53:56.000Z,優河 - 魔法 @ 森、道、市場 2018,2018/5/11~13　森、道、市場 2018,https://i.ytimg.com/vi/a6dUkpJN-Mg/default.jpg,https://i.ytimg.com/vi/a6dUkpJN-Mg/maxresdefault.jpg,20,a6dUkpJN-Mg
21,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjU1MEFFNUMwMjFDMjc3MzI=,2019-10-13T08:04:06.000Z,Random Forest - Requiescence [Full EP],"Genre: Post Rock, Ambient, Instrumental
Artist: Random Forest
Album: Requiescence (October 4, 2019)
Country: London, UK

Purchase the EP: https://randomforest.bandcamp.com/album/requiescence

Follow Random Forest:
https://www.facebook.com/randomforestmusic/
https://spoti.fi/30TJC7I

---------------------------------------------------------------------------------------------
Like and follow WPRD on social media:
Facebook: https://www.facebook.com/wprdwells
Twitter: https://www.twitter.com/wprdwells
Instagram: https://bit.ly/2MwsMrM
Spotify: https://spoti.fi/2XxzYqH

Donate to the channel: https://www.paypal.me/wprdwells
---------------------------------------------------------------------------------------------

Tracklist:

01. Holding on to the Earth 00:00
02. The Only One 04:02
03. Requiem for a Fallen Tree 08:23
04. I Don’t Trust That Bird of Prey 12:13

All rights reserved by Random Forest.

#randomforestband #postrockUK #postrock2019 #wprd",https://i.ytimg.com/vi/W9HnaQRSzxA/default.jpg,https://i.ytimg.com/vi/W9HnaQRSzxA/maxresdefault.jpg,21,W9HnaQRSzxA
22,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjc2QTQzOTJGNTUzRUFEOUY=,2019-10-13T07:52:07.000Z,Jaco Pastorius-live in montreal jazz fest 1982,"VISITEM MEU BLOG...
http://hscudeller.blogspot.com/",https://i.ytimg.com/vi/8cpwaq7CxD4/default.jpg,,22,8cpwaq7CxD4
23,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjQxMkFFQkM2NkFCQzczRUU=,2019-10-13T07:51:46.000Z,Kelly Finnigan & The Atonements - Full Performance (Live on KEXP),"http://KEXP.ORG presents Kelly Finnigan & The Atonements performing live in the KEXP studio. Recorded July 11, 2019.

Songs:
Every Time It Rains
Can't Let Him Down
I Don't Wanna Wait
Catch Me I'm Falling

Host: Morgan
Audio Engineer: Julian Martlew
Cameras: Jim Beckmann, Alaia D'Alessandro, Luke Knecht & Justin Wilmore
Editor: Scott Holpainen

http://kexp.org
https://www.kellyfinnigan.com",https://i.ytimg.com/vi/iCopIeeA2R0/default.jpg,https://i.ytimg.com/vi/iCopIeeA2R0/maxresdefault.jpg,23,iCopIeeA2R0
24,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjk2NkUwM0Y3ODIyMDlGOEM=,2019-10-13T07:51:35.000Z,Kelly Finnigan & The Atonements - I Don't Wanna Wait (Live on KEXP),"http://KEXP.ORG presents Kelly Finnigan & The Atonements performing ""I Don't Wanna Wait"" live in the KEXP studio. Recorded July 11, 2019.

Host: Morgan
Audio Engineer: Julian Martlew
Cameras: Jim Beckmann, Alaia D'Alessandro, Luke Knecht & Justin Wilmore
Editor: Scott Holpainen

http://kexp.org
https://www.kellyfinnigan.com",https://i.ytimg.com/vi/0edQThjUWEA/default.jpg,https://i.ytimg.com/vi/0edQThjUWEA/maxresdefault.jpg,24,0edQThjUWEA
